hour,rain_mm_h
0,3.0
1,3.2255302103748233
2,3.4497840213874786
3,3.6714922575210123
4,3.8894001500652013
5,4.102274438542025
6,4.308910350404236
7,4.508138419505091
8,4.69883110474974
9,4.879909171469748
10,5.050347799404982
11,5.20918238272448
12,5.355513989260782
13,5.488514448060926
14,5.607431036460847
15,5.71159074015646
16,5.8004040621613555
17,5.873368359094096
18,5.930070685913252
19,5.970190133000265
20,5.993499642363268
21,5.999867292683014
22,5.989257045928084
23,5.961728951313918
24,5.917438805451306
25,5.85663727060778
26,5.77966845607213
27,5.6869679706508975
28,5.579060457318821
29,5.4565566239760175
30,5.320149787116457
31,5.1706119479690384
32,5.008789423318509
33,4.835598055733834
34,4.6520180303119485
35,4.459088327271807
36,4.25790084179452
37,4.049594204388672
38,3.8353473367547233
39,3.6163727796194367
40,3.3939098303017587
41,3.169217528848444
42,2.943567532434747
43,2.718236918357838
44,2.4945009563547833
45,2.2736258911504925
46,2.056861776083176
47,1.8454353983657428
48,1.640543336023
49,1.4433451857992288
50,1.2549570003631536
51,1.0764449719527511
52,0.90881939820763
53,0.7530289643396577
54,0.6099553740021527
55,0.48040835924452296
56,0.3651210977937448
57,0.26474606359882014
58,0.17985133412223453
59,0.11091737527751655
60,0.05833432220866741
61,0.022399771301050087
62,0.003317095919953328
63,0.0011942954089896318
64,0.016043383862473726
65,0.04778032213106176
66,0.09622549344547204
67,0.16110471996645526
68,0.24205081450781818
69,0.3386056586504296
70,0.4502227954860418
71,0.5762705223171452
72,0.7160354658095716
73,0.8687266193641162
74,1.0334798198574306
75,1.209362638415906
76,1.3953796575429194
77,1.590478104733303
78,1.7935538106913371
79,2.0034574584313862
80,2.219001087894144
81,2.438964819265249
82,2.662103756945316
83,2.8871550350980772
84,3.1128449649019188
85,3.33789624305468
86,3.5610351807347476
87,3.780998912105849
88,3.9965425415686107
89,4.206446189308659
90,4.4095218952666935
91,4.6046203424570775
92,4.790637361584089
93,4.966520180142567
94,5.13127338063588
95,5.283964534190426
96,5.423729477682852
97,5.549777204513955
98,5.661394341349569
99,5.75794918549218
100,5.838895280033544
101,5.903774506554527
102,5.952219677868937
103,5.983956616137526
104,5.99880570459101
105,5.996682904080046
106,5.97760022869895
107,5.941665677791334
108,5.889082624722484
109,5.820148665877766
110,5.735253936401183
111,5.634878902206258
112,5.519591640755479
113,5.3900446259978505
114,5.246971035660346
115,5.091180601792373
116,4.923555028047251
117,4.745042999636851
118,4.556654814200774
119,4.359456663977003
120,4.154564601634263
121,3.9431382239168293
122,3.7263741088495106
123,3.505499043645224
124,3.2817630816421675
125,3.0564324675652577
126,2.830782471151559
127,2.6060901696982484
128,2.3836272203805677
129,2.1646526632452794
130,1.950405795611334
131,1.7420991582054846
132,1.5409116727281966
133,1.3479819696880524
134,1.1644019442661704
135,0.9912105766814937
136,0.8293880520309634
137,0.6798502128835469
138,0.5434433760239847
139,0.4209395426811797
140,0.3130320293491061
141,0.22033154392787313
142,0.14336272939222183
143,0.08256119454869393
144,0.03827104868608289
145,0.010742954071916166
146,0.00013270731698644678
147,0.00650035763673118
148,0.02980986699973498
149,0.06992931408674696
150,0.12663164090590207
151,0.1995959378386417
152,0.28840925984353816
153,0.3925689635391527
154,0.5114855519390706
155,0.6444860107392159
156,0.7908176172755192
157,0.9496522005950135
158,1.1200908285302478
159,1.3011688952502576
160,1.4918615804949038
161,1.691089649595758
162,1.8977255614579716
163,2.1105998499347964
164,2.328507742478982
165,2.550215978612517
166,2.774469789625173
167,2.9999999999999987
